tipo_ordenacao,tamanho_sequencia,tempo_execucao,tipo_sequencia
select_sort,10000,0.118126,crescente
insert_sort,10000,0.000070,crescente
bubble_sort,10000,0.113980,crescente
merge_sort,10000,0.000913,crescente
shell_sort,10000,0.000217,crescente
quick_sort,10000,0.000329,crescente
heap_sort,10000,0.001031,crescente
select_sort,10000,0.120634,decrescente
insert_sort,10000,0.133240,decrescente
bubble_sort,10000,0.319581,decrescente
merge_sort,10000,0.000845,decrescente
shell_sort,10000,0.000361,decrescente
quick_sort,10000,0.000321,decrescente
heap_sort,10000,0.000935,decrescente
select_sort,10000,0.105819,aleatorio
insert_sort,10000,0.057348,aleatorio
bubble_sort,10000,0.261364,aleatorio
merge_sort,10000,0.001706,aleatorio
shell_sort,10000,0.001321,aleatorio
quick_sort,10000,0.001139,aleatorio
heap_sort,10000,0.001242,aleatorio
select_sort,10000,0.104392,aleatorio
insert_sort,10000,0.061704,aleatorio
bubble_sort,10000,0.264579,aleatorio
merge_sort,10000,0.001357,aleatorio
shell_sort,10000,0.001314,aleatorio
quick_sort,10000,0.001128,aleatorio
heap_sort,10000,0.001284,aleatorio
select_sort,10000,0.102935,aleatorio
insert_sort,10000,0.056939,aleatorio
bubble_sort,10000,0.282684,aleatorio
merge_sort,10000,0.001399,aleatorio
shell_sort,10000,0.001796,aleatorio
quick_sort,10000,0.001220,aleatorio
heap_sort,10000,0.001242,aleatorio
select_sort,10000,0.108312,aleatorio
insert_sort,10000,0.060544,aleatorio
bubble_sort,10000,0.276178,aleatorio
merge_sort,10000,0.001406,aleatorio
shell_sort,10000,0.001351,aleatorio
quick_sort,10000,0.001190,aleatorio
heap_sort,10000,0.001305,aleatorio
select_sort,10000,0.107719,aleatorio
insert_sort,10000,0.061005,aleatorio
bubble_sort,10000,0.266848,aleatorio
merge_sort,10000,0.001452,aleatorio
shell_sort,10000,0.001275,aleatorio
quick_sort,10000,0.001142,aleatorio
heap_sort,10000,0.001334,aleatorio
select_sort,10000,0.102045,aleatorio
insert_sort,10000,0.057536,aleatorio
bubble_sort,10000,0.260306,aleatorio
merge_sort,10000,0.001469,aleatorio
shell_sort,10000,0.001277,aleatorio
quick_sort,10000,0.001152,aleatorio
heap_sort,10000,0.001246,aleatorio
select_sort,10000,0.104161,aleatorio
insert_sort,10000,0.058509,aleatorio
bubble_sort,10000,0.260110,aleatorio
merge_sort,10000,0.001411,aleatorio
shell_sort,10000,0.001377,aleatorio
quick_sort,10000,0.001169,aleatorio
heap_sort,10000,0.001272,aleatorio
select_sort,10000,0.103088,aleatorio
insert_sort,10000,0.057618,aleatorio
bubble_sort,10000,0.260721,aleatorio
merge_sort,10000,0.001498,aleatorio
shell_sort,10000,0.001299,aleatorio
quick_sort,10000,0.001118,aleatorio
heap_sort,10000,0.001245,aleatorio
select_sort,10000,0.102677,aleatorio
insert_sort,10000,0.057769,aleatorio
bubble_sort,10000,0.259419,aleatorio
merge_sort,10000,0.001548,aleatorio
shell_sort,10000,0.001303,aleatorio
quick_sort,10000,0.001127,aleatorio
heap_sort,10000,0.001255,aleatorio
select_sort,10000,0.103623,aleatorio
insert_sort,10000,0.056854,aleatorio
bubble_sort,10000,0.258654,aleatorio
merge_sort,10000,0.001391,aleatorio
shell_sort,10000,0.001342,aleatorio
quick_sort,10000,0.001342,aleatorio
heap_sort,10000,0.001381,aleatorio
select_sort,20000,0.408536,crescente
insert_sort,20000,0.000096,crescente
bubble_sort,20000,0.407363,crescente
merge_sort,20000,0.001811,crescente
shell_sort,20000,0.000459,crescente
quick_sort,20000,0.000670,crescente
heap_sort,20000,0.001937,crescente
select_sort,20000,0.416142,decrescente
insert_sort,20000,0.452689,decrescente
bubble_sort,20000,1.049086,decrescente
merge_sort,20000,0.001708,decrescente
shell_sort,20000,0.000734,decrescente
quick_sort,20000,0.000665,decrescente
heap_sort,20000,0.001919,decrescente
select_sort,20000,0.391615,aleatorio
insert_sort,20000,0.217889,aleatorio
bubble_sort,20000,1.090537,aleatorio
merge_sort,20000,0.002963,aleatorio
shell_sort,20000,0.002866,aleatorio
quick_sort,20000,0.002302,aleatorio
heap_sort,20000,0.002622,aleatorio
select_sort,20000,0.389702,aleatorio
insert_sort,20000,0.219218,aleatorio
bubble_sort,20000,1.101871,aleatorio
merge_sort,20000,0.003465,aleatorio
shell_sort,20000,0.002958,aleatorio
quick_sort,20000,0.002432,aleatorio
heap_sort,20000,0.002779,aleatorio
select_sort,20000,0.389265,aleatorio
insert_sort,20000,0.219863,aleatorio
bubble_sort,20000,1.091973,aleatorio
merge_sort,20000,0.002944,aleatorio
shell_sort,20000,0.002887,aleatorio
quick_sort,20000,0.002353,aleatorio
heap_sort,20000,0.002602,aleatorio
select_sort,20000,0.392339,aleatorio
insert_sort,20000,0.219465,aleatorio
bubble_sort,20000,1.089204,aleatorio
merge_sort,20000,0.002970,aleatorio
shell_sort,20000,0.002863,aleatorio
quick_sort,20000,0.002364,aleatorio
heap_sort,20000,0.002693,aleatorio
select_sort,20000,0.388186,aleatorio
insert_sort,20000,0.221521,aleatorio
bubble_sort,20000,1.087203,aleatorio
merge_sort,20000,0.002946,aleatorio
shell_sort,20000,0.002834,aleatorio
quick_sort,20000,0.002340,aleatorio
heap_sort,20000,0.002694,aleatorio
select_sort,20000,0.390350,aleatorio
insert_sort,20000,0.221273,aleatorio
bubble_sort,20000,1.091166,aleatorio
merge_sort,20000,0.002990,aleatorio
shell_sort,20000,0.003066,aleatorio
quick_sort,20000,0.002350,aleatorio
heap_sort,20000,0.002631,aleatorio
select_sort,20000,0.387200,aleatorio
insert_sort,20000,0.221439,aleatorio
bubble_sort,20000,1.093467,aleatorio
merge_sort,20000,0.002892,aleatorio
shell_sort,20000,0.002844,aleatorio
quick_sort,20000,0.002354,aleatorio
heap_sort,20000,0.002654,aleatorio
select_sort,20000,0.391006,aleatorio
insert_sort,20000,0.219423,aleatorio
bubble_sort,20000,1.082032,aleatorio
merge_sort,20000,0.003018,aleatorio
shell_sort,20000,0.002858,aleatorio
quick_sort,20000,0.002310,aleatorio
heap_sort,20000,0.002670,aleatorio
select_sort,20000,0.391240,aleatorio
insert_sort,20000,0.222373,aleatorio
bubble_sort,20000,1.087853,aleatorio
merge_sort,20000,0.003147,aleatorio
shell_sort,20000,0.002944,aleatorio
quick_sort,20000,0.002348,aleatorio
heap_sort,20000,0.002639,aleatorio
select_sort,20000,0.389634,aleatorio
insert_sort,20000,0.222338,aleatorio
bubble_sort,20000,1.094158,aleatorio
merge_sort,20000,0.002973,aleatorio
shell_sort,20000,0.002849,aleatorio
quick_sort,20000,0.002303,aleatorio
heap_sort,20000,0.002597,aleatorio
select_sort,30000,0.880711,crescente
insert_sort,30000,0.000142,crescente
bubble_sort,30000,0.881206,crescente
merge_sort,30000,0.002736,crescente
shell_sort,30000,0.000696,crescente
quick_sort,30000,0.000988,crescente
heap_sort,30000,0.003051,crescente
select_sort,30000,0.901413,decrescente
insert_sort,30000,0.999695,decrescente
bubble_sort,30000,2.383508,decrescente
merge_sort,30000,0.002800,decrescente
shell_sort,30000,0.001200,decrescente
quick_sort,30000,0.001036,decrescente
heap_sort,30000,0.002972,decrescente
select_sort,30000,0.879584,aleatorio
insert_sort,30000,0.503625,aleatorio
bubble_sort,30000,2.554018,aleatorio
merge_sort,30000,0.004572,aleatorio
